Special,Title,Date,Description,URL
,"Guy, Sharyn & Clint's Podcast 7 Oct","Tue, 07 Oct","Today it was just Sharyn & Guy, lives were changed.",http://podcast.mediaworks.co.nz//TheEdge/audio/GuySharynClint/GSC_071014_podcast.mp3
,Podcast For Thursday Dec 7th 2017,"Thu, 07 Dec","The 12 Jays Of Christmas, our listener Jess wants to give her husband a very special 40th birthday gift, we got Meg and Jay Jay a present and Dom's dad Stu is in a musical. [Also: Dom talks about Randell not following many people on Instagram]",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/X_Sqywv9Xz0/1512594570138_podcast_for_thursday_dec_7th_2017.mp3
,Podcast For Friday Dec 8th 2017,"Fri, 08 Dec","Our Chloe is missing the intimacy with her man, the 12 Jays Of Christmas, cancel Christmas, Chris Black joins us in studio, Chang thinks he found a bargain and Randell's Christmas present for Dom.",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/mMw15NTlQXU/1512679354866_podcast_for_friday_dec_8th_2017.mp3
,Podcast For Monday Dec 11th 2017,"Mon, 11 Dec","We continue the 12 Jays of Christmas, listener Brodie cancels Christmas with his mum and we have Meg's boyfriend Guy in studio to talk about her vagina tattoo.",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/w7WF1v0oc2o/1512941514808_podcast_for_monday_dec_11th_2017.mp3
,Podcast For Tuesday Dec 12th 2017,"Tue, 12 Dec","Meg's mum joins us on the phone, how much should you spend on your kids, we have a complaint, we chat about bitcoins and Black Caps Colin Munro and George Worker joins us in studio.",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/QiW3MazEiFw/1513026206490_podcast_for_tuesday_dec_12th_2017.mp3
,Podcast For Wednesday Dec 13th 2017,"Wed, 13 Dec","Someone in New Zealand watched Grown Ups 331 times, Stephen from Dunedin reviews the show, sum up 2017 in 4 words and we continue the 12 Jays of Christmas.",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/tyLHqe9xYaA/1513112951193_podcast_for_wednesday_dec_13th_2017.mp3
,Podcast For Thursday Dec 14th 2017,"Thu, 14 Dec","A drunk guy followed Chang to work this morning, we bring back Jay Jay's super poll and do gooders and the boys from Six 60 joins us in studio with goodies.",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/XJfH1RN-_GA/1513199993152_podcast_for_thursday_dec_14th_2017.mp3
,Podcast For Friday Dec 15th 2017,"Fri, 15 Dec","Chang is off on holiday and only has 7kg carry on baggage, Jay Jay has a do gooder for a family that has gone through a hard time, we continue the 12 Jays of Christmas and Jay jay's More FM Audition tape.",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/uw0-LI2xJZU/1513285809332_podcast_for_friday_dec_15th_2017.mp3
,JDR Monday Dec 18th 2017,"Mon, 18 Dec","Jay-Jay, Dom and Randell's podcast for 18/12/17",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/BfsExdmE7-w/1513621455603_jdr_podcast_18_12_2018.mp3
,JDR Monday Dec 19th 2017,"Tue, 19 Dec",JDR Monday Dec 19th 2017,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/bWm_Nt75Kz8/1513649157441_jdr_podcast_19_12_2017.mp3
,JDR Wednesday Dec 20th 2017,"Wed, 20 Dec","Jay-Jay, Dom & Randell's podcast Dec 20 2017",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/4XlquWIm9ZE/1513723100483_jdr_podcast_20_12_2017.mp3
,JDR Thursday Dec 21st 2017,"Thu, 21 Dec","Jay-Jay, Dom and Randell's podcast from Thurs 21st December 2017",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/-8DomBpL94E/1513809229593_jdr_podcast_21_12_2017.mp3
,JDR Friday 22nd Dec 21st 2017,"Fri, 22 Dec",Jay Jay's last EVER show!,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/Qff3pNJxT4U/1513907751315_jdr_podcast_22_12_2017.mp3
