Special,Title,Date,Description,URL
,"Jay-Jay, Dom & Randell's Podcast for Friday April 1st 2016","Fri, 01 Apr",Producers Diary We aanounce our World Record! Listeners ring up outraged We countdown to the Record! Facebucks Batman VS Superman Dick of the Week,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/7VKP9SyAeMs/JDR16_Apr1st.mp3
,"Jay-Jay, Dom & Randell's Podcast for Monday April 4th 2016","Mon, 04 Apr",Kerry watches porn with her flatmates The best April Fools jokes Gabriel Macht AKA Harvey from Suits in studio Double or Nothing Batman VS Superman Randells Review,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/pg6AdEKz_4I/JDR16_April4th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Tuesday April 5th 2016","Tue, 05 Apr",Interview Bingo The Vengaboys are coming! Where do the good boys go to hideaway? Eliminated Bacherlorette Alicia in Studio Jimmy pranks his poor Dad Double or Nothing Batman VS Superman,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/zGUC8eFg25k/JDR16_April5th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Wednesday April 6th 2016","Wed, 06 Apr",,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/Hgj0yy8WGqc/JDR16_April6th_2.mp3
,"Jay-Jay, Dom & Randell's Podcast for Thursday April 7th 2016","Thu, 07 Apr",,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/hgiMV7FC08s/JDR16_April7th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Friday April 8th 2016","Fri, 08 Apr",Randell rebelling in Raro Cheryl the Skinny Dipper Kevin the Raro pool guy OUCH me privates! Double or Nothing Batman VS Superman,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/KcjHEOo58xo/JDR16_April8th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Monday April 9th 2016","Mon, 11 Apr",MON-YAY Mike Puru in Studio Batman VS Superman Double or nothing What's on Ellie's mind? The Hickey Files,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ewx8KqDgpXw/JDR16_April11th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Tuesday April 10th 2016","Tue, 12 Apr",Who will be hitch hiking from Wellington? Ewsday Tuesday Island Time Eliminated Bachelorette Sarah in Studio Ghosting - Read us that last txt Double or Nothing What's on Ellie's Mind? Asian or Nowaysion,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/8_UQ6Qi5uMs/JDR16_April12th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Wednesday April 13th 2016","Wed, 13 Apr",Hotline Bling Don't Shoot the Messenger JJ & Doms Pitbull Debate Double or Nothing What's on Ellie's Mind,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/0g8ZRYpCYpo/JDR16_April13th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Thursday April 14th 2016","Thu, 14 Apr",,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/gN-zUiPVEW4/JDR16_April14th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Friday April 15th 2016","Fri, 15 Apr",Randell racing Chang and Megan all the way from Wellington Dick of the week Producers Diary Double or Nothing What's on Ellie's Mind? Sexiest Occupations,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/VuY1wS0kqEI/JDR16_April15th.mp3
,"Jay-Jay, Dom & Randell's Podcast for Tuesday April 26th 2016","Tue, 26 Apr",Randells Love Letters Ewsday Tuesday Naked Resturant! Eliminated Bachelorette Kate is in Studio Twit for Brains Matt Okine in Studio,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ipDPLcnjXQk/JDR16_April26th.mp3
,"Jay-Jay, Dom & Rendall Podcast For Wednesday April 27th 2016","Wed, 27 Apr",The daily 3 Hotline Bling Naked Resturant Eliminated Bachelorette Gabs Twit for Brains Matt Okines horrible cheating story,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/Qyffvhh9upU/JDR16_April27th.mp3
,"Jay-Jay, Dom & Rendall Podcast For Thursday April 28th 2016","Thu, 28 Apr",Workplace Whistleblowers - Sports Players Naked Resturant - Who's keen Rhys Darby in Studio Twit for Brains Randells birthday Randells horrible cheesecutter,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ZPMTVkruIQU/JRD16_April28th2.mp3
,"Jay-Jay, Dom & Rendall Podcast For Friday April 29th 2016","Fri, 29 Apr",Producers Diary Kid things adults like The creep test The price is WHAAAT? Twit for brains Laura Daniel in studio,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/72Rcg6JhZ6g/JDR16_April29th.mp3
,"Jay-Jay, Dom & Rendall Podcast For Monday May 2nd 2016","Mon, 02 May",Mon-Yay! Wango Tango sitch up Naked dining Twit for Brains Massage Monday Work perks,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/PqQe2FhCNUk/JDR16_May2nd.mp3
,"Jay-Jay, Dom & Rendall Podcast For Tuesday May 3rd 2016","Tue, 03 May",Jordan from The Bachelor in Studio Comedian Jimeoin pops in Who is the smartest on the show? Twit for brains Asian or Nowaysion?,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/KhRq_Q4ssHQ/JDR16_May3rd.mp3
,"Jay-Jay, Dom & Randall Podcast For Wednesday May 4th 2016","Wed, 04 May",Comedian Joel Creasey in studio Hotline Bling Classic Stitch up on Randell Eliminated Bachelorette Erin in studio Stewart who's doing our IQ test Ramona from Housewives of New York in Studio Twit for Brains,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/bnRVA8HnrZU/JDR16_May4th.mp3
,"Jay-Jay, Dom & Randall Podcast For Thursday May 5th 2016","Thu, 05 May",Naked Restaurant - How did it go?! Twit for Brains Bad Tattoo - lyrics addition The IQ test - the highlights Workplace Whistleblowers - Waitors,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/a_Km_JwTBSQ/JDR16_May5th.mp3
,"Jay-Jay, Dom & Randall Podcast For Friday May 6th 2016","Fri, 06 May",Wilson Dixon in studio Producer Diary Playground Insults Classic Stitch up IQ Test results Twit for Brains Our Mums say the F word,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/cmKeAyb25SE/JDR16_May6th.mp3
,"Jay-Jay, Dom & Randall Podcast For Monday May 9th 2016","Mon, 09 May",Mon-YAY Extreme Hung Twit for Brains Tyler the stripper and her famous **** Poll in a song - Naz or Fleur?,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/vFmx0FAWsVw/JDR16_May9th.mp3
