Special,Title,Date,Description,URL
,"Jay-Jay, Mike & Dom's Podcast for Monday 14th September 2015","Mon, 14 Sep","Jay-Jay, Mike & Dom's Podcast for Monday 14th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/pO4KBo8V5YQ/JMD15_September14th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday 15th September 2015","Tue, 15 Sep","Jay-Jay, Mike & Dom's Podcast for Tuesday 15th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ITegh_Ey3fs/JMD15_September15th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday 16th September 2015","Wed, 16 Sep","Jay-Jay, Mike & Dom's Podcast for Wednesday 16th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/7xj9BgqTvCI/JMD15_September16th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday 17th September 2015","Thu, 17 Sep","Jay-Jay, Mike & Dom's Podcast for Thursday 17th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/j7eyOSSnalk/JMD15_September17th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday 21st September 2015","Mon, 21 Sep","Jay-Jay, Mike & Dom's Podcast for Monday 21st September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/J8KhNglRPXU/JMD15_September21st.mp3
,NSFW: JMD meet a man with TWO functioning penises,"Tue, 22 Sep",WARNING: Extremely NSFW,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/py38jXzmPQg/Double_Dick_Man.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday 22nd September 2015","Tue, 22 Sep","Jay-Jay, Mike & Dom's Podcast for Tuesday 22nd September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/qc8zKpqf8cQ/JMD15_September22nd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday 23rd September 2015","Wed, 23 Sep","Jay-Jay, Mike & Dom's Podcast for Wednesday 23rd September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/IlU75DNQzvk/JMD15_September23rd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday 24th September 2015","Thu, 24 Sep","Jay-Jay, Mike & Dom's Podcast for Thursday 24th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/d4s2kPtFrt4/JMD15_September24th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday 25th September 2015","Fri, 25 Sep","Jay-Jay, Mike & Dom's Podcast for Friday 25th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/VakgSHd59l4/JMD15_September25th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday 28th September 2015","Mon, 28 Sep","Jay-Jay, Mike & Dom's Podcast for Monday 28th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/LDg1uDcdwgM/JMD15_September28th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday 29th September 2015","Tue, 29 Sep","Jay-Jay, Mike & Dom's Podcast for Tuesday 29th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ZrAvBUNGdT8/JMD15_September29th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday 30th September 2015","Wed, 30 Sep","Jay-Jay, Mike & Dom's Podcast for Wednesday 30th September 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/jcNyqAZvDXQ/JMD15_September30th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday October 1st 2015","Thu, 01 Oct","Jay-Jay, Mike & Dom's Podcast for Thursday October 1st 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/VCdPziSVd1Q/JMD15_October1st.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday October 2nd 2015","Fri, 02 Oct","Jay-Jay, Mike & Dom's Podcast for Friday October 2nd 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/VK08trqhpZ8/JMD15_October2nd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday October 5th 2015","Mon, 05 Oct","Jay-Jay, Mike & Dom's Podcast for Monday October 5th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ESIW6f1nwo4/JMD15_October5th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday October 6th 2015","Tue, 06 Oct","Jay-Jay, Mike & Dom's Podcast for Tuesday October 6th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/pRRpJqB6NqE/JMD15_October6th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday October 7th 2015","Wed, 07 Oct","Jay-Jay, Mike & Dom's Podcast for Wednesday October 7th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/QUIMPDDOtrQ/JMD15_October7th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday October 8th 2015","Thu, 08 Oct","Jay-Jay, Mike & Dom's Podcast for Thursday October 8th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/yLsLGQFjh7Y/JMD15_October8th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday October 9th 2015","Fri, 09 Oct","Jay-Jay, Mike & Dom's Podcast for Friday October 9th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/NmHk7kXDskY/JMD15_October9th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday October 27th 2015","Tue, 27 Oct","Jay-Jay, Mike & Dom's Podcast for Tuesday October 27th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/vgOvq7c4s-0/JMD15_Oct27th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday October 28th 2015","Wed, 28 Oct","Jay-Jay, Mike & Dom's Podcast for Wednesday October 28th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/Mqdfo8VgBnA/JMD15_Oct28th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday October 29th 2015","Thu, 29 Oct","Jay-Jay, Mike & Dom's Podcast for Thursday October 29th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/_9X0oS7BJ-o/JMD15_Oct29th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday October 30th 2015","Fri, 30 Oct","Jay-Jay, Mike & Dom's Podcast for Friday October 30th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/rMhG5VqmJdM/JMD15_Oct30th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday November 2nd 2015","Mon, 02 Nov","Jay-Jay, Mike & Dom's Podcast for Monday November 2nd 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/Dn0Vtl8Dqt4/JMD15_Nov2nd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday November 3rd 2015","Tue, 03 Nov","Jay-Jay, Mike & Dom's Podcast for Tuesday November 3rd 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/i7UTo66bpD4/JMD15_Nov3rd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday November 4th 2015","Wed, 04 Nov","Jay-Jay, Mike & Dom's Podcast for Wednesday November 4th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/vqgAvXNxkRU/JMD15_Nov4th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday November 5th 2015","Thu, 05 Nov","Jay-Jay, Mike & Dom's Podcast for Thursday November 5th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/qIYUx7WSEkY/JMD15_Nov5th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday November 6th 2015","Fri, 06 Nov","Jay-Jay, Mike & Dom's Podcast for Friday November 6th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/PrLZKQLo530/JMD15_Nov6th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday November 9th 2015","Mon, 09 Nov","Jay-Jay, Mike & Dom's Podcast for Monday November 9th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/VveIeo0jFVY/JMD15_Nov9th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday November 10th 2015","Tue, 10 Nov","Jay-Jay, Mike & Dom's Podcast for Tuesday November 10th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/VHh6ySlufBQ/JMD15_Nov10th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday November 11th 2015","Wed, 11 Nov",Today on the JMD Show - we interview drunk punters at Christchurch Cup & Show Day and can Jay-Jay attempts to do an obstacle course.. on a glideboard!,http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/BUaSViHEYP4/JMD15_Nov11th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday November 12th 2015","Thu, 12 Nov","Jay-Jay, Mike & Dom's Podcast for Thursday November 12th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/qQMqlRtiG4I/JMD15_Nov12th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday November 13th 2015","Fri, 13 Nov","Jay-Jay, Mike & Dom's Podcast for Friday November 13th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/3TJriVf_dxM/JMD15_Nov13th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday November 16th 2015","Mon, 16 Nov","Jay-Jay, Mike & Dom's Podcast for Monday November 16th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/epJFRoprRlQ/JMD15_Nov16th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday November 17th 2015","Tue, 17 Nov","Jay-Jay, Mike & Dom's Podcast for Tuesday November 17th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/fty3rVFE_I8/JMD15_Nov17th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday November 18th 2015","Wed, 18 Nov","Jay-Jay, Mike & Dom's Podcast for Wednesday November 18th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/2d7qObjBnGs/JMD15_Nov18th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday November 19th 2015","Thu, 19 Nov","Jay-Jay, Mike & Dom's Podcast for Thursday November 19th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/6nNoODGOO44/JMD15_Nov19th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday November 20th 2015","Fri, 20 Nov","Jay-Jay, Mike & Dom's Podcast for Friday November 20th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/EeP_h4K0-C8/JMD15_Nov20th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday November 23rd 2015","Mon, 23 Nov","Jay-Jay, Mike & Dom's Podcast for Monday November 23rd 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/JmO9mX7VYlw/JMD15_Nov23rd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday November 24th 2015","Tue, 24 Nov","Jay-Jay, Mike & Dom's Podcast for Tuesday November 24th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/A4IRPRVUHjU/JMD15_Nov24th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday November 25th 2015","Wed, 25 Nov","Jay-Jay, Mike & Dom's Podcast for Wednesday November 25th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/5ciPR1ibzw0/JMD15_Nov25th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday November 26th 2015","Thu, 26 Nov","Jay-Jay, Mike & Dom's Podcast for Thursday November 26th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ygfBvl52at0/JMD15_Nov26th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday November 27th 2015","Fri, 27 Nov","Jay-Jay, Mike & Dom's Podcast for Friday November 27th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/JtwAH5JCu2o/JMD15_Nov27th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday November 30th 2015","Mon, 30 Nov","Jay-Jay, Mike & Dom's Podcast for Monday November 30th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/Pmr5UGKtVSI/JMD15_Nov30th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday December 1st 2015","Tue, 01 Dec","Jay-Jay, Mike & Dom's Podcast for Tuesday December 1st 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/kujwpVnqE30/JMD15_Dec1st.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday December 2nd 2015","Wed, 02 Dec","Jay-Jay, Mike & Dom's Podcast for Wednesday December 2nd 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/quGv54hpOAI/JMD15_Dec2nd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Thursday December 3rd 2015","Thu, 03 Dec","Jay-Jay, Mike & Dom's Podcast for Thursday December 3rd 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/mDJs6r4mpzc/JMD15_Dec3rd.mp3
,"Jay-Jay, Mike & Dom's Podcast for Friday December 4th 2015","Fri, 04 Dec","Jay-Jay, Mike & Dom's Podcast for Friday December 4th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/GYh3X-obOvs/JMD15_Dec4th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Monday December 7th 2015","Mon, 07 Dec","Jay-Jay, Mike & Dom's Podcast for Monday December 7th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/ISi07d0Y7uc/JMD15_Dec7th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Tuesday December 8th 2015","Tue, 08 Dec","Jay-Jay, Mike & Dom's Podcast for Tuesday December 8th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/R010anPtpJQ/JMD15_Dec8th.mp3
,"Jay-Jay, Mike & Dom's Podcast for Wednesday December 9th 2015","Wed, 09 Dec","Jay-Jay, Mike & Dom's Podcast for Wednesday December 9th 2015",http://feedproxy.google.com/~r/TheMorningMadhousePodcast/~5/i8tco6fyv38/JMD15_Dec9th.mp3
,JMD15_Jan19th,"Mon, 19 Jan",JMD15_Jan19th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan19th.mp3
,JMD15_Jan20th,"Tue, 20 Jan",JMD15_Jan20th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan20th.mp3
,JMD15_Jan21st,"Wed, 21 Jan",JMD15_Jan21st,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan21st.mp3
,JMD15_Jan22nd,"Thu, 22 Jan",JMD15_Jan22nd,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan22nd.mp3
,JMD15_Jan23rd,"Fri, 23 Jan",JMD15_Jan23rd,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan23rd.mp3
,JMD15_Jan26th,"Mon, 26 Jan",JMD15_Jan26th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan26th.mp3
,JMD15_Jan27th,"Tue, 27 Jan",JMD15_Jan27th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan27th.mp3
,JMD15_Jan28th,"Wed, 28 Jan",JMD15_Jan28th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan28th.mp3
,JMD15_Jan29th,"Thu, 29 Jan",JMD15_Jan29th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan29th.mp3
,JMD15_Jan30th,"Fri, 30 Jan",JMD15_Jan30th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Jan30th.mp3
,JMD15_Feb2nd,"Mon, 02 Feb",JMD15_Feb2nd,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb2nd.mp3
,JMD15_Feb3rd,"Tue, 03 Feb",JMD15_Feb3rd,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb3rd.mp3
,JMD15_Feb4th,"Wed, 04 Feb",JMD15_Feb4th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb4th.mp3
,JMD15_Feb5th,"Thu, 05 Feb",JMD15_Feb5th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb5th.mp3
,JMD15_Feb9th,"Mon, 09 Feb",JMD15_Feb9th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb9th.mp3
,JMD15_Feb10th,"Tue, 10 Feb",JMD15_Feb10th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb10th.mp3
,JMD15_Feb11th,"Wed, 11 Feb",JMD15_Feb11th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb11th.mp3
,JMD15_Feb12th,"Thu, 12 Feb",JMD15_Feb12th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb12th.mp3
,JMD15_Feb13th,"Fri, 13 Feb",JMD15_Feb13th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb13th.mp3
,JMD15_Feb16th,"Mon, 16 Feb",JMD15_Feb16th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb16th.mp3
,JMD15_Feb17th,"Tue, 17 Feb",JMD15_Feb17th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb17th.mp3
,JMD15_Feb18th,"Wed, 18 Feb",JMD15_Feb18th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb18th.mp3
,JMD15_Feb19th,"Thu, 19 Feb",JMD15_Feb19th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb19th.mp3
,JMD15_Feb20th,"Fri, 20 Feb",JMD15_Feb20th,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb20th.mp3
,JMD15_Feb23rd,"Mon, 23 Feb",JMD15_Feb23rd,http://podcast.mediaworks.co.nz/TheEdge/Audio/JayJayMikeDom/JMD15_Feb23rd.mp3
